0000_00.00.07.640-00.00.09.050	In 1989, 
0012_00.00.10.360-00.00.14.690	Lieutenant Colonel James Rhodes, to demonstrate the new Jericho missile.
0012_00.00.14.690-00.00.16.880	The convoy is ambushed 
0012_00.00.16.880-00.00.28.890	and Stark is critically wounded by one of his own rocket-propelled grenades.
0012_00.00.28.895-00.00.34.845	He is captured and imprisoned in a cave by the terrorist group, The Ten Rings,
0012_00.00.34.845-00.00.36.765	and an electromagnet is grafted into his chest
0012_00.00.36.765-00.00.39.260	by fellow captive, Yinsen, to keep the shrapnel shell shards that wounded him from reaching his heart and killing him.
0012_00.00.39.260-00.00.47.790	Stark and Yinsen secretly build a powerful electric generator called arc reactor to power Stark's electromagnet
0012_00.00.47.790-00.00.52.860	and a suit of powered armor to aid in their escape.
0012_00.00.52.860-00.00.55.425	Although they keep the suit hidden almost to completion, The Ten Rings attack the workshop when they discover their intentions.
0012_00.00.55.425-00.00.58.465	Yinsen sacrifices himself to divert them, 
0012_00.00.58.465-00.01.00.965	while the suit powers up.
0012_00.01.00.965-00.01.01.740	UNMATCHED: The armored Stark battles his way out of the cave
0012_00.01.01.745-00.01.03.495	to find the dying Yinsen,
0012_00.01.03.495-00.01.05.025	burns the Ten Rings' weapons
0012_00.01.05.025-00.01.06.325	and flies away,
0012_00.01.06.325-00.01.08.130	crashing in the desert and destroying the suit.
0012_00.01.08.130-00.01.08.930	UNMATCHED: After being rescued by Rhodes, 
0012_00.01.08.930-00.01.14.190	Stark returns home and announces that his company will no longer manufacture weapons.
0012_00.01.14.190-00.01.20.960	Obadiah Stane, his father's old partner and the company's manager, advises Stark that this may ruin Stark Industries and his father's legacy.
0012_00.01.20.970-00.01.24.390	In his home workshop, Stark builds an improved version of his suit
0012_00.01.24.390-00.01.30.380	as well as a more powerful arc reactor for his chest.  
0012_00.01.30.380-00.01.31.180	Personal asstant, Pepper Potts, places the original reactor inside a small glass showcase.
0012_00.01.31.180-00.01.34.590	Though Stane requests details, Stark keeps his work to himself.
0012_00.01.34.595-00.01.43.065	At a charity event held by Stark Industries, reporter Christine Everhart, informs Stark that his company's weapons, including the Jericho, 
0012_00.01.43.065-00.01.48.960	were recently delivered to The Ten Rings and are being used to attack Yinsen's home village, Gulmira.
0012_00.01.48.960-00.01.49.700	UNMATCHED:  Stark also learns Stane is trying to replace him as head of the company. 
0012_00.01.49.705-00.01.51.885	Enraged by these revelations, Stark dons his new armor
0012_00.01.51.885-00.01.53.425	and flies to Afganistan,
0012_00.01.53.425-00.02.03.970	where he saves Yinsen's village.
0012_00.02.03.970-00.02.07.590	While flying home, Stark is shot up by two f-22 Raptor fighter jets.
0012_00.02.07.590-00.02.11.490	He reveals his secret identity to Rhodes over the phone in an attempt to end the attack.
0012_00.02.11.490-00.02.16.790	Meanwhile, The Ten Rings gather the pieces of Stark's prototype suit and meet with Stane, 
0012_00.02.16.790-00.02.18.490	who subdues Raza with a sonic device
0012_00.02.18.490-00.02.19.590	and has the rest of the group killed.
0012_00.02.19.590-00.02.25.690	Stane has a new suit reverse engineered from the wreckage, seeking to find any other weapons delivered to The Ten Rings.
0012_00.02.25.690-00.02.28.160	Stark sends Pepper to hack into the company computer system from Stane's office.
0012_00.02.28.160-00.02.34.290	She discovers Stane has been supplying the terrorists and hired The Ten Rings to kill Stark, but the group reneged.
0012_00.02.34.300-00.02.37.760	Potts meets with agent Phil Coulson of Shield, a counterterrorism agency, to inform him of Stane's activities.
0012_00.02.37.765-00.02.40.230	Stane's scientists cannot duplicate Stark's arc reactor, 
0012_00.02.40.235-00.02.44.765	so Stane ambushes Stark at home and takes his, 
0012_00.02.44.765-00.02.47.180	though Stark manages to get his original reactor to replace the taken one.
0012_00.02.47.180-00.02.49.280	Potts and several Shield agents attempt to arrest Stane,
0012_00.02.49.280-00.02.51.760	but he dons his suit and attacks them.
0012_00.02.51.760-00.03.08.660	Stark fights Stane, but is outmatched without his new reactor to run his suit at full capacity.
0012_00.03.08.660-00.03.14.125	Stark lures Stane atop the Stark Industries building and instructs Potts to overload the large arc reactor there.
0012_00.03.14.125-00.03.17.385	This unleashes a massive electrical surge
0012_00.03.17.385-00.03.19.760	that causes Stane and his armor to fall into the exploding reactor, killing him.
0012_00.03.19.760-00.03.39.220	The next day at a press conference, Stark admits to being the superhero the press has dubbed Iron Man.
0012_00.03.39.220-00.03.50.950	In a post credits scene, Shield director, Nick Fury, vists Stark at home, telling him that Iron Man is not the only superhero in the world and explaining that he wants to discuss The Avengers Initiative.
0013_00.00.13.580-00.00.17.060	During a raid in the Middle East in 1997, 
0013_00.00.17.060-00.00.22.560	Lee Unwin, a probationary secret agent, sacrifices himself to save his team.
0013_00.00.22.565-00.00.30.265	Blaming himself, Harry Hart, codenamed Galahad, delivers a medal for valor to Lee's widow, Michelle
0013_00.00.30.265-00.00.35.795	and his young son, Eggsy, saying that if they ever need help, they should call the phone number on the back of the medal.
0013_00.00.35.795-00.00.37.585	17 years later, 
0013_00.00.37.585-00.00.40.865	professor James Arnold is kidnapped
0013_00.00.40.865-00.00.43.420	by internet billionaire and philanthropist, Richmond Valentine.
0013_00.00.43.420-00.00.46.160	One of Hart's fellow agents, Lancelot, attempts a rescue single-handed,
0013_00.00.46.160-00.00.55.060	but is killed by Gazelle, Valentine's hench woman, who wears prosthetic legs that are specially sharpened to double up as blades.
0013_00.00.55.060-00.01.00.430	Valentine secretly meets with various powerful individuals, some of whom go missing afterwards.
0013_00.01.00.430-00.01.07.060	He also announces a giveaway of SIM cards, granting free cellular and internet access forever to everyone.
0013_00.01.07.065-00.01.11.450	In London, Eggsy is now an unemployed young adult living with his mother,
0013_00.01.11.450-00.01.12.565	infant half-sister
0013_00.01.12.565-00.01.14.430	and abusive stepfather, Dean.
0013_00.01.14.430-00.01.21.580	Despite being highly intelligent and capable, he left training for the Royal Marines and lives the aimless life of a stereotypical chav.
0013_00.01.21.585-00.01.23.865	Arrested for stealing a car, 
0013_00.01.23.865-00.01.26.550	Eggsy calls the number on the medal.
0013_00.01.26.550-00.01.28.900	Hart has him released and tells Eggsy about his father.
0013_00.01.28.900-00.01.39.790	He was an agent of Kingsman, an independent international intelligence agency founded in 1919 by wealthy British individuals who had lost their heirs in the first World War.
0013_00.01.39.790-00.01.41.490	With Lancelot's death, the agency has a vacancy.
0013_00.01.41.500-00.01.44.960	As Hart's choice, Eggsy joins the other hand-picked candidates,
0013_00.01.44.960-00.01.48.090	including a woman named Roxy, whom he befriends.
0013_00.01.48.090-00.01.51.660	The training is overseen by Merlin, a senior Kingsman.
0013_00.01.51.670-00.01.53.950	The rigorous selection process
0013_00.01.53.950-00.01.56.020	 leaves Eggsy and Roxy as the final two candidates.
0013_00.01.56.020-00.01.57.790	Eggsy fails the last test,
0013_00.01.57.790-00.02.00.260	which Roxy passes to become the next Lancelot.
0013_00.02.00.260-00.02.00.865	UNMATCHED:  During this time, Merline notes that Arnold is no longer missing.
0013_00.02.00.867-00.02.07.957	Hart tries to extract information from the professor, 
0013_00.02.07.957-00.02.09.110	but a chip implanted in Arnold's head explodes, killing him.
0013_00.02.09.110-00.02.12.380	Hart is injured, escaping from unknown assailants.
0013_00.02.12.380-00.02.13.115	UNMATCHED:  The signal that triggered the blast is traced to Valentine's Corporation.
0013_00.02.13.125-00.02.17.595	Hart poses as a billionaire 
0013_00.02.17.595-00.02.20.925	and dines with Valentine to try to ascertain his plans,
0013_00.02.20.925-00.02.29.530	duing which Valentine reveals that he knew Hart's true occupation beforehand, and ultimately spares him long enough for Valentine to learn more about Kingsman.
0013_00.02.29.530-00.02.34.330	Hart tracks Valentine to an obscure hate group's church in Kentucky, United States, 
0013_00.02.34.330-00.02.36.750	where Hart realizes too late that it is a trap.
0013_00.02.36.750-00.02.39.690	Valentine uses his SIM cards to broadcast a tone
0013_00.02.39.690-00.02.42.590	that causes everyone in the church to become uncontrollably violent.
0013_00.02.42.595-00.02.48.895	A comical brawl to the death erupts, during which Hart massacres most of the people in the church, 
0013_00.02.48.895-00.02.50.365	leaving him as the only survivor.
0013_00.02.50.370-00.02.50.930	Eggsy,
0013_00.02.50.930-00.02.51.660	Merlin 
0013_00.02.51.660-00.02.54.260	and Chester King, codenamed Arthur, Kingsmans' leader, 
0013_00.02.54.260-00.02.57.260	watch via video link separately.
0013_00.02.57.260-00.03.01.320	Afterward, Valentine shoots Hart in the head, seemingly killing Hart.
0013_00.03.01.325-00.03.03.125	When Eggsy goes to see Arthur,
0013_00.03.03.125-00.03.08.755	he notices that Arthur has a scar behind his ear, just like Valentine's other converts.
0013_00.03.08.755-00.03.11.825	Arhtur pours Eggsy brandy containing a poison, which is activatable,
0013_00.03.11.825-00.03.15.560	but Eggsy distracts Arthur and switches the glasses before they drink.
0013_00.03.15.560-00.03.23.240	Arthur explains Valentine's views before he realizes this: humanity is akin to a virus and global warming is the Earth's equivalent of a fever.
0013_00.03.23.240-00.03.34.580	Valentine intends to broadcast his neurological wave worldwide to cause a massive culling of the human race to rescue it from extinction.
0013_00.03.34.580-00.03.39.085	Only those who Valentine deems worthy of living, his allies, who have protective microchips implanted in their heads, and the VIPs he kidnapped, will be spared. 
0013_00.03.39.085-00.03.44.225	Shortly afterwards, Arthur activates the poison when Eggsy refuses to join his side, 
0013_00.03.44.225-00.03.46.760	unwittingly killing himself.
0013_00.03.46.760-00.03.52.560	Unsure whom to trust, Merlin decides that he, Eggsy and Roxy must stop Valentine on their own.
0013_00.03.52.560-00.04.00.990	Roxy rides a high-altitude balloon into the stratosphere to disrupt Valentine's impending broadcast by destroying one of his satellites, 
0013_00.04.00.990-00.04.05.760	while Eggsy and Merlin infiltrate Valentine's mountain bunker complex in Argentina.
0013_00.04.05.765-00.04.07.465	Roxy downs the satellite,
0013_00.04.07.465-00.04.10.825	but Valentine gets a business contact to replace it,
0013_00.04.10.825-00.04.13.195	then activates the signal, which requires his constant palm print, 
0013_00.04.13.195-00.04.15.290	causing worldwide violence.
0013_00.04.15.290-00.04.19.360	Eggsy is recognized and engages in a running shootout with Valentine's henchmen.
0013_00.04.19.360-00.04.22.730	Eventually both he and Merlin are cornered separately,
0013_00.04.22.730-00.04.26.930	but at Eggsy's suggestion, Merlin hacks into Valentine's system
0013_00.04.26.930-00.04.34.160	and causes the implants to explode, killing Valentine's henchmen and every convert when their heads explode,
0013_00.04.34.160-00.04.35.370	UNMATCHED: except Valentine and Gazelle, neither of whom carried implants.
0013_00.04.35.375-00.04.39.425	Eggsy manages to successfully kill Gazelle after a fierce and intense fight with her,
0013_00.04.39.425-00.04.44.385	and then spears Valentine with the sharpened tip of Gazelle's prosthetic leg.
0013_00.04.44.385-00.04.46.165	Valentine falls to the ground floor
0013_00.04.46.165-00.04.47.495	where he eventually dies.
0013_00.04.47.495-00.04.48.495	The signal is cut off,
0013_00.04.48.495-00.04.50.260	ending the worldwide carnage.
0013_00.04.50.260-00.04.57.630	In a mid-credit scene, Eggsy, now a Kingsman agent, offers his mother and half-sister a new home away from Dean,
0013_00.04.57.630-00.04.59.460	who flatly objects to Eggsy's suggestion.
0013_00.04.59.460-00.05.05.770	Eggsy then dispatches him in exactly the same manner that Hart dealt with one of Dean's henchmen earlier.
0014_00.00.11.780-00.00.17.490	In 2029, no mutants have been born in 25 years.
0014_00.00.17.490-00.00.20.430	Logan's healing ability has slowed and his body has aged.
0014_00.00.20.430-00.00.25.235	He spends his days drinking and working as a limo driver in El Paso, Texas.
0014_00.00.25.235-00.00.28.895	In an abandoned smelting plant in northern Mexico,
0014_00.00.28.895-00.00.30.495	he and mutant tracker, Caliban, 
0014_00.00.30.495-00.00.33.760	care for Charles Xavier.
0014_00.00.33.765-00.00.35.265	Charles suffers from a brain disease that causes him to lose control of his telepathic abilities
0014_00.00.35.265-00.00.38.690	with destructive effects.
0014_00.00.38.690-00.00.44.430	Logan is approached by Gabriela Lopez, a former nurse from a biotechnological corporation, Alkali-Transigen, 
0014_00.00.44.430-00.00.49.580	who asks him to escort her
0014_00.00.49.580-00.00.52.930	and an 11 year old girl, Laura Kenny, to Eden, a refuge in North Dakota.
0014_00.00.52.935-00.00.55.465	Logan reluctantly accepts,
0014_00.00.55.465-00.00.56.460	but finds Gabriela dead.
0014_00.00.56.460-00.01.02.230	At his hideout, Logan is confronted by Gabriela's killer, Transigen's cyborg chief of security,
0014_00.01.02.230-00.01.05.260	Donald Pierce, who is looking for Laura.
0014_00.01.05.260-00.01.07.130	UNMATCHED
0014_00.01.07.130-00.01.07.900	UNMATCHED:  Laura has stowed away in Logan's limo
0014_00.01.07.900-00.01.09.730	and has powers similar to Logan's.
0014_00.01.09.730-00.01.13.630	She, Logan and Charles escape Pierce and his enforcers,
0014_00.01.13.630-00.01.14.430	The Reavers,
0014_00.01.14.430-00.01.16.350	but Caliban is captured.
0014_00.01.16.350-00.01.18.190	Logan and Charles learn from Gabriela's cell phone
0014_00.01.18.190-00.01.21.530	that Laura is one of several mutant children
0014_00.01.21.530-00.01.25.650	that Transigen created from mutant DNA samples for use as weapons.
0014_00.01.25.650-00.01.27.910	After they prove difficult to control, 
0014_00.01.27.910-00.01.31.490	Gabriela and the nurses help children escape euthanasia.
0014_00.01.31.495-00.01.34.255	Laura, who was created from Logan's DNA, 
0014_00.01.34.255-00.01.37.355	became separated when she was smuggled into the United States.
0014_00.01.37.355-00.01.39.365	At a hotel in Oklahoma City, 
0014_00.01.39.365-00.01.45.595	Logan discovers that Eden appears in an X-Men comic in Laura's possession and assumes it is fictional.
0014_00.01.45.595-00.01.47.565	The Reavers arrive, 
0014_00.01.47.565-00.01.51.375	but Charles, appearing to have a seizure, incapacitates everyone in the hotel.
0014_00.01.51.375-00.01.53.125	Logan kills the attackers,
0014_00.01.53.125-00.01.54.595	injects Charles with a suppressant, 
0014_00.01.54.595-00.01.56.230	and escapes.
0014_00.01.56.230-00.02.04.130	Dr. Zander Rice, head of Transigen, convinces Caliban that they will not harm Logan and Charles if Caliban helps them find Laura.
0014_00.02.04.130-00.02.07.060	Logan, Laura and Charles help a farming family,
0014_00.02.07.060-00.02.09.850	the Munsons, after a traffic incident 
0014_00.02.09.850-00.02.11.730	and accept an offer of dinner at their home.
0014_00.02.11.735-00.02.16.425	Logan sees off enforcers from a corporate farm, harassing the family patriarch,
0014_00.02.16.425-00.02.17.160	Will.
0014_00.02.17.160-00.02.19.650	X-24, a feral clone of Logan,
0014_00.02.19.650-00.02.21.230	murders Charles
0014_00.02.21.230-00.02.22.560	and Will's family,
0014_00.02.22.560-00.02.23.190	stabs Will
0014_00.02.23.190-00.02.24.760	and captures Laura.
0014_00.02.24.760-00.02.26.260	Caliban sets off grenades to destroy the Transigen van, in which he is held captive, 
0014_00.02.26.260-00.02.33.260	killing himself and several Reavers, and injuring Pierce.
0014_00.02.33.265-00.02.35.395	Logan engages X-24, 
0014_00.02.35.395-00.02.36.835	but is outmatched.
0014_00.02.36.835-00.02.39.955	Will impales X-24 on farm equipment, using his truck,
0014_00.02.39.955-00.02.42.165	then dies from his injuries.
0014_00.02.42.165-00.02.43.795	Logan and Laura escape
0014_00.02.43.795-00.02.44.655	with Charles' body.
0014_00.02.44.655-00.02.46.265	After burying Charles,
0014_00.02.46.265-00.02.48.780	Logan passes out from rage and exhaustion.
0014_00.02.48.780-00.02.51.130	Laura convinces him to complete the journey.
0014_00.02.51.135-00.02.53.215	They arrive at Eden,
0014_00.02.53.215-00.02.54.795	a camp run by Richtor
0014_00.02.54.795-00.02.56.265	and the other escaped Transigen test subjects.
0014_00.02.56.265-00.02.58.185	Laura discovers an Adamantium bullet
0014_00.02.58.185-00.03.03.295	Logan has kept since his escape from Weapon X and plans to use it to commit suicide.
0014_00.03.03.300-00.03.08.130	Logan learns that the children plan to journey to Canada and decides to separate from them,
0014_00.03.08.130-00.03.09.430	to Laura's dismay.
0014_00.03.09.430-00.03.11.450	The children are captured by the Reavers.
0014_00.03.11.460-00.03.15.880	Logan takes an overdose of serum given to him by Richtor,
0014_00.03.15.880-00.03.18.385	that increases his physical abilities and restores his healing ability.
0014_00.03.18.385-00.03.22.275	He slaughters most of the Reavers and rescues Laura,
0014_00.03.22.275-00.03.22.920	UNMATCHED:  but the serum wears off.
0014_00.03.22.920-00.03.26.120	As Pierce holds Richtor at gunpoint, 
0014_00.03.26.120-00.03.28.190	Rice tells Logan, who killed Rice's father years ago while escaping from Weapon X,
0014_00.03.28.190-00.03.35.020	that the decline of mutants is due to a Transigen virus that Rice created and distributed.
0014_00.03.35.025-00.03.35.995	Logan shoots Rice dead
0014_00.03.35.995-00.03.37.750	and attacks Pierce.
0014_00.03.37.750-00.03.43.150	A regenerated X-24, enraged by Rice's death, engages Logan.
0014_00.03.43.150-00.03.47.160	With their guards distracted, the children kill the Reavers and Pierce.
0014_00.03.47.160-00.03.50.890	Richtor uses his seismic powers to flip a truck onto X-24.
0014_00.03.50.895-00.03.53.695	X-24 impales Logan on a tree branch
0014_00.03.53.695-00.03.57.640	but Laura shoots the Adamantium bullet into his head, killing him.
0014_00.03.57.640-00.04.01.220	Severely wounded, Logan tells Laura to not be the weapon she was made to be.
0014_00.04.01.220-00.04.04.330	Laura finally addresses him as her father
0014_00.04.04.335-00.04.05.535	and Logan dies.
0014_00.04.05.535-00.04.07.355	The children hold a burial
0014_00.04.07.355-00.04.12.785	and Laura turns the cross on Logan's grave to its side to create an X before they continue their journey.
0015_00.00.00.030-00.00.05.560	The planet Krypton, unstable from years of industrial mining, faces impending destruction.
0015_00.00.05.570-00.00.12.660	Jor-El, chief advisor to Krypton's Supreme Council, recommends a full-scale evacuation of the planet's inhabitants.
0015_00.00.12.660-00.00.14.040	Before any action can be taken,
0015_00.00.14.040-00.00.16.920	soldiers led by General Zod,
0015_00.00.16.920-00.00.18.710	an old friend of Jor-El's,
0015_00.00.18.710-00.00.19.010	UNMATCHED: launch an uprising
0015_00.00.19.010-00.00.20.290	and arrests the councilors. 
0015_00.00.20.290-00.00.22.200	Realizing that Krypton is doomed,
0015_00.00.22.200-00.00.24.620	Jor-El steals genetic codes sought by Zod
0015_00.00.24.620-00.00.30.210	and infuses them into the DNA of his infant son, Kal-El,
0015_00.00.30.210-00.00.30.540	UNMATCHED: the first naturally born Kryptonian child in centuries.
0015_00.00.30.540-00.00.30.810	UNMATCHED: Donning his old armor,
0015_00.00.30.810-00.00.35.070	Jor-El sacrifices his life
0015_00.00.35.070-00.00.37.870	to allow his son to escape on a pre-programmed spacecraft.
0015_00.00.37.870-00.00.40.450	Zod orders the rocket's destruction 
0015_00.00.40.450-00.00.42.910	only to learn that forces loyal to the Council have suppressed the rebellion.
0015_00.00.42.910-00.00.45.290	In a brief trial,
0015_00.00.45.290-00.00.46.370	Zod and several of the surviving rebels are convicted of treason
0015_00.00.46.370-00.00.48.650	and sentenced to the Phantom Zone
0015_00.00.48.650-00.00.51.070	seconds before Krypton explodes.
0015_00.00.51.080-00.00.51.410	UNMATCHED: Following Jor-El's coordinates, the ship crash-lands on Earth 
0015_00.00.51.410-00.00.54.780	in Smallville, Kansas.
0015_00.00.54.790-00.00.58.540	A childless couple, Jonathan and Martha Kent, 
0015_00.00.58.540-00.01.00.730	find Kal-El and raise him as their own, naming him Clark.
0015_00.01.00.740-00.01.05.010	As he grows up, Clark becomes an isolated young man
0015_00.01.05.010-00.01.05.360	UNMATCHED: as a result of developing superhuman powers.
0015_00.01.05.360-00.01.09.610	He then learns his true origins from Jonathan,
0015_00.01.09.610-00.01.09.910	UNMATCHED: who urges him to keep his powers hidden.
0015_00.01.09.910-00.01.14.280	Several years later, Jonathan dies in a tornado while refusing to let Clark save him.
0015_00.01.14.290-00.01.19.410	Burdened by guilt, Clark leaves to travel the world under several aliases, seeking a new purpose.
0015_00.01.19.410-00.01.21.780	Lois Lane, a reporter at the Daily Planet in Metropolis,
0015_00.01.21.780-00.01.27.560	receives an assignment to investigate the discovery of a Kryptonian scout ship in the Canadian Arctic.
0015_00.01.27.560-00.01.29.990	Disguised as a worker,
0015_00.01.29.990-00.01.31.700	Clark enters the ship
0015_00.01.31.700-00.01.33.830	and activates the central computer using a key left by Jor-El,
0015_00.01.33.830-00.01.40.270	allowing him to communicate with an artificial intelligence modeled after his father.
0015_00.01.40.280-00.01.41.820	The AI explains that Clark was sent to Earth to guide its people
0015_00.01.41.820-00.01.44.230	and presents him with the Kryptonian uniform
0015_00.01.44.230-00.01.45.740	bearing his family symbol.
0015_00.01.45.740-00.01.47.260	While following Clark, Lois inadvertently triggers
0015_00.01.47.260-00.01.48.500	the ship's security system.
0015_00.01.48.500-00.01.50.830	Clark uses his power to rescue Lois
0015_00.01.50.830-00.01.52.220	before donning the uniform
0015_00.01.52.220-00.01.54.240	and testing his ability to fly.
0015_00.01.54.240-00.01.54.730	Lois
0015_00.01.54.730-00.02.00.410	attempts to have her supervisor, Perry White, publish an article on the incident, but he refuses to do so without proof.
0015_00.02.00.410-00.02.03.220	After tracking down Clark,
0015_00.02.03.220-00.02.03.540	UNMATCHED: Lois eventually agrees to keep his secret safe.
0015_00.02.03.540-00.02.03.810	UNMATCHED: Escaping the Phantom Zone,
0015_00.02.03.810-00.02.09.620	Zod and his crew travel to earth
0015_00.02.09.620-00.02.09.910	UNMATCHED: after intercepting a transmission from the scout vessel.
0015_00.02.09.910-00.02.16.200	Deducing that Kal-El is nearby, they broadcast a global address, demanding that he surrender or risk war.
0015_00.02.16.200-00.02.19.700	Clark meets with the U.S. Army and agrees to comply,
0015_00.02.19.700-00.02.20.900	with Lois joining him as a hostage.
0015_00.02.20.900-00.02.29.010	Zod reveals that he possesses advanced terraforming equipment salvaged from Kryptonian outposts,
0015_00.02.29.010-00.02.29.290	UNMATCHED: which he intends to use to transform Earth into a new Krypton.
0015_00.02.29.290-00.02.39.870	His science officer, Jax-Ur, extracts Clark's genes to create Kryptonian colonists who will exterminate humanity and build a society based on Zod's ideals of genetic purity.
0015_00.02.39.870-00.02.42.100	With help from Jor-El,
0015_00.02.42.100-00.02.43.160	Clark and Lois escape
0015_00.02.43.160-00.02.43.500	UNMATCHED: and warn the Army
0015_00.02.43.500-00.02.45.910	just as Zod orders an invasion.
0015_00.02.45.910-00.02.50.280	Given the codename "Superman", Clark destroys the terraforming platform
0015_00.02.50.280-00.02.51.620	while his human allies launch a suicide attack,
0015_00.02.51.620-00.02.53.910	killing Zod's troops.
0015_00.02.53.910-00.02.54.160	Vowing to eradicate humanity himself,
0015_00.02.54.160-00.02.57.370	Zod battles with Superman
0015_00.02.57.370-00.02.59.420	and the two eventually crash into a train station.
0015_00.02.59.420-00.03.01.590	Zod turns his own heat vision on a group of passengers
0015_00.03.01.590-00.03.03.730	but Superman kills him.
0015_00.03.03.730-00.03.10.830	Now the last surviving Kryptonian, Superman persuades the Army to let him act independently so long as he does not turn against humanity.
0015_00.03.10.830-00.03.25.290	To allow access to dangerous situations without attracting attention, Superman is hired as a freelance reporter for The Daily Planet as Clark Kent.
0016_00.00.16.882-00.00.21.980	The film opens with a commercial spacecraft called Nostromo returning to Earth
0016_00.00.21.986-00.00.23.626	with its seven-member crew still in stasis.
0016_00.00.23.630-00.00.24.990	The crew consists of
0016_00.00.24.995-00.00.26.610	Captain Dallas,
0016_00.00.26.610-00.00.28.190	Executive Officer Kane,
0016_00.00.28.195-00.00.29.535	Navigator Lambert,
0016_00.00.29.540-00.00.31.040	Science Officer Ash
0016_00.00.31.055-00.00.33.205	Warrant Officer Ripley,
0016_00.00.33.205-00.00.34.680	and two engineers, Parker
0016_00.00.34.687-00.00.35.380	and Brett.
0016_00.00.35.390-00.00.39.740	A mysterious transmission is detected by the ship's computer, thought to be a distress call
0016_00.00.39.750-00.00.41.450	and the crew is awakened.
0016_00.00.41.450-00.00.45.990	Following company policy, the ship lands on the planetoid that the distress call came from
0016_00.00.45.995-00.00.47.695	and sustains damage.
0016_00.00.47.710-00.00.49.700	The crew begins to work on the ship
0016_00.00.49.710-00.00.53.210	and discovers that the signal is coming from an alien spacecraft.
0016_00.00.53.255-00.00.54.450	They find the remains of an alien
0016_00.00.54.450-00.00.56.650	with its ribcage exploded from the inside.
0016_00.00.56.685-00.00.59.245	Back on Nostromo, Warrant Officer Ripley determines that the transmission was not a distress call but a warning, 
0016_00.00.59.250-00.01.00.870	and tries to warn the others, but is unsuccessful
0016_00.01.00.880-00.01.06.610	On the alien ship,
0016_00.01.06.610-00.01.10.620	Kane discovers a chamber containing hundreds of eggs.
0016_00.01.10.620-00.01.11.510	While inspecting one,
0016_00.01.11.520-00.01.12.350	a creature springs out, 
0016_00.01.12.365-00.01.13.605	and attaches itself to his face.
0016_00.01.13.800-00.01.16.700	Kane is brought back to the ship
0016_00.01.16.705-00.01.17.525	for medical treatment.
0016_00.01.17.525-00.01.21.155	The crew unsuccessfully attempts to remove the creature, aka a face hugger,
0016_00.01.21.155-00.01.24.535	discovering its blood is acid.
0016_00.01.24.550-00.01.26.320	It eventually detaches on its own
0016_00.01.26.330-00.01.28.010	and is found later dead.
0016_00.01.28.055-00.01.30.670	With the ship repaired, the crew leaves.
0016_00.01.30.670-00.01.33.480	Kane awakens with some memory loss but in general is okay.
0016_00.01.33.500-00.01.36.080	However, later he begins to choke and convulse
0016_00.01.36.085-00.01.39.035	and a small alien bursts from his chest, killing him
0016_00.01.39.045-00.01.41.375	and escaping into the depths of the ship.
0016_00.01.41.415-00.01.46.265	The crew cannot use conventional weapons to hunt this creature, however, as his blood could damage the hull.
0016_00.01.46.280-00.01.48.380	They must use some lesser lethal weapons.
0016_00.01.48.420-00.01.52.270	Brett discovers that the alien is now fully grown
0016_00.01.52.280-00.01.53.830	and is attacked.
0016_00.01.53.890-00.01.56.650	The group decides to try to jettison the creature into space.
0016_00.01.56.670-00.01.59.860	Ripley finds out from the ship's computer that
0016_00.01.59.870-00.02.01.790	Ash was actually assigned to the crew to capture the alien, 
0016_00.02.01.795-00.02.03.785	and their company views the crews' lives as expendable.
0016_00.02.03.800-00.02.07.630	A fight breaks out.
0016_00.02.07.635-00.02.09.535	Ash's head is removed, revealing that he is actually an Android.
0016_00.02.09.560-00.02.11.870	Parker interrogates the reainmiated head of Ash,
0016_00.02.11.880-00.02.16.870	learning Ash's role was to capture the creature and bring it back for analysis, 
0016_00.02.16.870-00.02.21.030	regardless of whether the crew survives or not.
0016_00.02.21.100-00.02.24.160	Parker decides to destroy Ash.
0016_00.02.24.222-00.02.25.832	The surviving three crew members decide to set the ship for self-destruct
0016_00.02.25.832-00.02.27.637	and try to escape
0016_00.02.27.637-00.02.29.237	on the shuttle.
0016_00.02.29.252-00.02.32.202	Two of them are killed by the alien,
0016_00.02.32.212-00.02.34.022	leaving only Ripley.
0016_00.02.34.072-00.02.36.162	Ripley initiates the self-destruct sequence
0016_00.02.36.172-00.02.38.652	and tries to flee the shuttle with the ship's cat, Jones, but is blocked by the alien.
0016_00.02.38.717-00.02.40.492	She runs back and forth a bit
0016_00.02.40.492-00.02.44.132	but eventually is able to board the shuttle
0016_00.02.44.147-00.02.46.637	right after the ship explodes.
0016_00.02.46.717-00.02.49.327	Ripley discovers that the alien is on board the shuttle, 
0016_00.02.49.327-00.02.50.857	puts on a spacesuit,
0016_00.02.50.857-00.02.51.932	and opens the airlock,
0016_00.02.51.932-00.02.53.942	forcing the alien and her into outer space.
0016_00.02.53.962-00.02.56.522	She is able to fire a grappling hook, 
0016_00.02.56.537-00.03.00.477	but this also helps the alien get back to the ship.
0016_00.03.00.492-00.03.03.112	Ripley fires the ship's engines
0016_00.03.03.117-00.03.05.697	blastting the alien eventually into outer space.
0016_00.03.05.722-00.03.09.122	Ripley and the cat turn into stasis and travel back to Earth.
0017_00.00.25.995-00.00.28.995	The film opens with Ellen Ripley from the first film
0017_00.00.28.995-00.00.33.440	after being rescused from drifting through outer space in stasis for 57 years.
